id_client;sexe;tranche_age;enfant_conduite_accompagne;nombre_enfants;tranche_revenus;tranche_valeur_RP;formation;usage_vehicule;type_vehicule;vehicule_est_rouge;tranche nbr_pts-perdus;tranche_age_vehicule;type_conduite;date_demande_mois_année;etat_dossier;formule;tarif_devis
161;M;54-72;VRAI;2;75000-100000;250000-300000;Bachelors;Private;Sports Car;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;mai-22;complet;dev_integral;A
162;M;18-36;FAUX;0;100000-125000;300000-350000;Bachelors;Private;SUV;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;mars-22;complet;dev_premium;B
163;F;36-54;VRAI;2;150000-175000;350000-400000;Masters;Private;Minivan;FAUX;0-3 pts;10-15 ans;Highly Rural/ Rural;févr-22;complet;dev_integral;A
164;F;54-72;FAUX;2;25000-50000;150000-200000;Masters;Private;Minivan;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;avr-22;complet;dev_integral;A
165;F;54-72;FAUX;0;0-25000;0-50000;Bachelors;Private;Sports Car;FAUX;0-3 pts;5-10 ans;Highly Rural/ Rural;avr-22;complet;dev_express;A
166;F;36-54;VRAI;2;0-25000;0-50000;<High School;Private;Minivan;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;avr-22;complet;dev_express;A
167;F;90-108;FAUX;2;50000-75000;250000-300000;Masters;Private;Sports Car;FAUX;0-3 pts;15-20 ans;Highly Urban/ Urban;mai-22;complet;dev_integral;A
168;F;18-36;FAUX;2;25000-50000;0-50000;High School;Commercial;Pickup;VRAI;0-3 pts;0-5 ans;Highly Urban/ Urban;mai-22;complet;dev_integral;A
169;F;54-72;FAUX;0;100000-125000;300000-350000;Masters;Commercial;Panel Truck;FAUX;0-3 pts;N/C;Highly Urban/ Urban;avr-22;complet;dev_integral;A
170;F;72-90;FAUX;0;25000-50000;150000-200000;High School;Commercial;SUV;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;mai-22;complet;dev_integral;A
171;M;36-54;FAUX;3;75000-100000;200000-250000;Bachelors;Private;Pickup;VRAI;0-3 pts;10-15 ans;Highly Urban/ Urban;févr-22;complet;dev_express;A
172;F;18-36;FAUX;0;0-25000;100000-150000;High School;Commercial;Minivan;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;mai-22;complet;dev_integral;A
173;M;54-72;FAUX;0;75000-100000;250000-300000;Bachelors;Commercial;Minivan;FAUX;0-3 pts;10-15 ans;Highly Rural/ Rural;févr-22;complet;dev_integral;A
174;F;36-54;FAUX;1;50000-75000;150000-200000;PhD;Private;Minivan;VRAI;0-3 pts;20-25 ans;Highly Urban/ Urban;mai-22;complet;dev_integral;A
175;M;36-54;FAUX;0;0-25000;0-50000;High School;Private;SUV;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;avr-22;complet;dev_express;A
176;M;72-90;FAUX;0;100000-125000;300000-350000;Masters;Commercial;Pickup;FAUX;6-9 pts;N/C;Highly Urban/ Urban;janv-22;complet;dev_integral;A
177;F;54-72;FAUX;0;0-25000;0-50000;High School;Commercial;Van;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;févr-22;complet;dev_express;A
178;M;18-36;FAUX;0;N/C;0-50000;Masters;Private;Sports Car;FAUX;0-3 pts;15-20 ans;Highly Urban/ Urban;janv-22;complet;dev_express;A
179;M;54-72;FAUX;3;0-25000;100000-150000;High School;Private;SUV;FAUX;0-3 pts;0-5 ans;Highly Rural/ Rural;janv-22;complet;dev_integral;A
180;F;54-72;FAUX;2;25000-50000;150000-200000;High School;Commercial;Van;VRAI;0-3 pts;5-10 ans;Highly Urban/ Urban;mai-22;complet;dev_premium;B
181;F;72-90;FAUX;0;50000-75000;200000-250000;Bachelors;Commercial;Pickup;FAUX;0-3 pts;N/C;Highly Urban/ Urban;mai-22;complet;dev_express;A
182;F;18-36;VRAI;3;25000-50000;200000-250000;High School;Commercial;Van;FAUX;0-3 pts;5-10 ans;Highly Rural/ Rural;févr-22;complet;dev_express;A
183;M;36-54;FAUX;0;150000-175000;450000-500000;Bachelors;Commercial;Panel Truck;VRAI;0-3 pts;10-15 ans;Highly Rural/ Rural;janv-22;complet;dev_integral;A
184;F;72-90;FAUX;0;100000-125000;0-50000;PhD;Private;Van;VRAI;0-3 pts;10-15 ans;Highly Urban/ Urban;janv-22;complet;dev_premium;A
185;F;54-72;FAUX;0;0-25000;100000-150000;High School;Private;Pickup;VRAI;0-3 pts;0-5 ans;Highly Urban/ Urban;mai-22;complet;dev_express;A
186;M;18-36;VRAI;3;25000-50000;200000-250000;High School;Commercial;SUV;FAUX;6-9 pts;5-10 ans;Highly Urban/ Urban;avr-22;complet;dev_premium;B
187;F;54-72;FAUX;0;0-25000;N/C;<High School;Private;SUV;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;mars-22;complet;dev_integral;A
188;F;18-36;FAUX;2;0-25000;50000-100000;Masters;Private;SUV;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;mai-22;complet;dev_integral;A
189;F;54-72;FAUX;0;0-25000;100000-150000;<High School;Private;SUV;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;janv-22;complet;dev_premium;B
190;F;0-18;FAUX;0;75000-100000;0-50000;Bachelors;Private;Minivan;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;mai-22;complet;dev_vip;B
191;M;36-54;FAUX;0;75000-100000;0-50000;Masters;Commercial;Van;VRAI;3-6 pts;N/C;Highly Urban/ Urban;mai-22;complet;dev_express;A
192;M;0-18;FAUX;0;25000-50000;100000-150000;High School;Private;Sports Car;FAUX;3-6 pts;0-5 ans;Highly Urban/ Urban;janv-22;complet;dev_premium;B
193;F;54-72;FAUX;0;100000-125000;350000-400000;Masters;Private;Sports Car;FAUX;0-3 pts;5-10 ans;Highly Rural/ Rural;janv-22;complet;dev_integral;A
194;F;18-36;FAUX;0;50000-75000;150000-200000;High School;Commercial;Panel Truck;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;janv-22;complet;dev_premium;B
195;F;36-54;FAUX;0;175000-200000;400000-450000;Masters;Private;SUV;FAUX;0-3 pts;15-20 ans;Highly Urban/ Urban;févr-22;complet;dev_integral;A
196;F;54-72;FAUX;2;50000-75000;200000-250000;Bachelors;Private;Sports Car;FAUX;3-6 pts;5-10 ans;Highly Urban/ Urban;avr-22;complet;dev_premium;A
197;F;54-72;FAUX;4;50000-75000;0-50000;PhD;Private;Minivan;FAUX;3-6 pts;15-20 ans;Highly Urban/ Urban;févr-22;complet;dev_express;A
198;M;72-90;FAUX;0;100000-125000;300000-350000;Bachelors;Commercial;Panel Truck;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;avr-22;complet;dev_express;A
199;F;36-54;FAUX;1;25000-50000;150000-200000;<High School;Private;SUV;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;mai-22;complet;dev_integral;A
200;F;54-72;FAUX;0;25000-50000;150000-200000;High School;Commercial;Minivan;FAUX;0-3 pts;N/C;Highly Rural/ Rural;févr-22;complet;dev_express;A
201;M;0-18;FAUX;0;25000-50000;50000-100000;High School;Private;Sports Car;VRAI;9-12 pts;5-10 ans;Highly Urban/ Urban;mars-22;complet;dev_express;A
202;M;72-90;FAUX;0;50000-75000;200000-250000;High School;Commercial;Pickup;VRAI;3-6 pts;5-10 ans;Highly Urban/ Urban;mai-22;complet;dev_integral;A
203;M;54-72;VRAI;2;25000-50000;150000-200000;High School;Commercial;Minivan;VRAI;0-3 pts;0-5 ans;Highly Urban/ Urban;avr-22;complet;dev_premium;B
204;F;72-90;FAUX;0;50000-75000;200000-250000;Bachelors;Commercial;SUV;FAUX;0-3 pts;10-15 ans;Highly Rural/ Rural;avr-22;complet;dev_premium;B
205;M;72-90;FAUX;1;25000-50000;100000-150000;High School;Private;Sports Car;FAUX;3-6 pts;5-10 ans;Highly Urban/ Urban;avr-22;complet;dev_express;A
206;M;36-54;FAUX;0;50000-75000;0-50000;High School;Commercial;Minivan;VRAI;0-3 pts;0-5 ans;Highly Urban/ Urban;mars-22;complet;dev_express;A
207;M;72-90;FAUX;0;50000-75000;N/C;Bachelors;Commercial;Minivan;VRAI;6-9 pts;N/C;Highly Urban/ Urban;mai-22;complet;dev_integral;A
208;M;54-72;FAUX;0;0-25000;0-50000;Bachelors;Private;Minivan;FAUX;0-3 pts;10-15 ans;Highly Rural/ Rural;févr-22;complet;dev_express;A
209;M;54-72;VRAI;1;25000-50000;150000-200000;High School;Commercial;Panel Truck;VRAI;0-3 pts;5-10 ans;Highly Urban/ Urban;avr-22;complet;dev_premium;B
210;F;36-54;FAUX;3;25000-50000;150000-200000;<High School;Private;SUV;FAUX;0-3 pts;5-10 ans;Highly Rural/ Rural;avr-22;complet;dev_integral;A
211;F;18-36;VRAI;2;50000-75000;150000-200000;Bachelors;Private;Minivan;FAUX;0-3 pts;5-10 ans;Highly Rural/ Rural;janv-22;complet;dev_integral;A
212;F;36-54;FAUX;0;100000-125000;300000-350000;PhD;Commercial;Panel Truck;VRAI;0-3 pts;15-20 ans;Highly Urban/ Urban;mars-22;complet;dev_express;A
213;F;54-72;FAUX;0;25000-50000;0-50000;PhD;Private;SUV;VRAI;0-3 pts;N/C;Highly Urban/ Urban;mai-22;complet;dev_integral;A
214;F;36-54;FAUX;0;25000-50000;200000-250000;Bachelors;Commercial;Van;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;janv-22;complet;dev_express;A
215;M;54-72;FAUX;2;25000-50000;150000-200000;High School;Commercial;Van;FAUX;3-6 pts;N/C;Highly Urban/ Urban;févr-22;complet;dev_integral;A
216;M;54-72;FAUX;0;100000-125000;300000-350000;Masters;Private;SUV;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;janv-22;complet;dev_premium;B
217;F;36-54;FAUX;3;25000-50000;150000-200000;High School;Private;Pickup;VRAI;0-3 pts;5-10 ans;Highly Urban/ Urban;mars-22;complet;dev_express;A
218;F;0-18;FAUX;0;50000-75000;0-50000;Masters;Private;SUV;FAUX;6-9 pts;15-20 ans;Highly Urban/ Urban;avr-22;complet;dev_premium;B
219;M;54-72;FAUX;0;0-25000;50000-100000;<High School;Private;Sports Car;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;avr-22;complet;dev_premium;B
220;M;54-72;VRAI;3;25000-50000;150000-200000;High School;Private;Minivan;FAUX;0-3 pts;0-5 ans;Highly Rural/ Rural;avr-22;complet;dev_integral;A
221;M;72-90;FAUX;3;100000-125000;250000-300000;PhD;Private;Sports Car;FAUX;0-3 pts;15-20 ans;Highly Urban/ Urban;janv-22;complet;dev_integral;A
222;M;54-72;VRAI;1;N/C;150000-200000;PhD;Commercial;Pickup;FAUX;0-3 pts;15-20 ans;Highly Rural/ Rural;mai-22;complet;dev_integral;A
223;F;18-36;FAUX;0;75000-100000;200000-250000;Bachelors;Private;SUV;FAUX;3-6 pts;0-5 ans;Highly Urban/ Urban;janv-22;complet;dev_premium;B
224;F;0-18;FAUX;4;100000-125000;300000-350000;Bachelors;Commercial;SUV;FAUX;3-6 pts;5-10 ans;Highly Urban/ Urban;janv-22;complet;dev_integral;A
225;F;72-90;FAUX;0;25000-50000;150000-200000;Bachelors;Commercial;Minivan;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;mai-22;complet;dev_integral;A
226;M;54-72;FAUX;0;125000-150000;300000-350000;Bachelors;Private;Minivan;FAUX;3-6 pts;10-15 ans;Highly Urban/ Urban;mai-22;complet;dev_express;A
227;F;54-72;FAUX;0;25000-50000;0-50000;Bachelors;Private;SUV;FAUX;3-6 pts;5-10 ans;Highly Urban/ Urban;mars-22;complet;dev_integral;A
228;M;18-36;FAUX;2;25000-50000;150000-200000;High School;Private;SUV;FAUX;0-3 pts;0-5 ans;Highly Rural/ Rural;févr-22;complet;dev_premium;B
229;F;54-72;FAUX;0;0-25000;0-50000;<High School;Private;Minivan;VRAI;0-3 pts;0-5 ans;Highly Urban/ Urban;mars-22;complet;dev_premium;A
230;F;72-90;FAUX;0;25000-50000;150000-200000;<High School;Private;Pickup;VRAI;3-6 pts;0-5 ans;Highly Urban/ Urban;janv-22;complet;dev_express;A
231;F;18-36;FAUX;0;50000-75000;150000-200000;High School;Private;SUV;FAUX;3-6 pts;N/C;Highly Urban/ Urban;mai-22;complet;dev_express;A
232;M;0-18;VRAI;2;50000-75000;200000-250000;Bachelors;Private;Minivan;VRAI;0-3 pts;5-10 ans;Highly Urban/ Urban;mai-22;complet;dev_express;A
233;F;18-36;FAUX;0;75000-100000;200000-250000;PhD;Private;Minivan;VRAI;3-6 pts;N/C;Highly Urban/ Urban;janv-22;complet;dev_express;A
234;F;36-54;FAUX;0;50000-75000;0-50000;Bachelors;Commercial;SUV;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;janv-22;complet;dev_express;A
235;F;54-72;FAUX;1;0-25000;0-50000;<High School;Private;SUV;FAUX;0-3 pts;5-10 ans;Highly Rural/ Rural;avr-22;complet;dev_integral;A
236;M;54-72;FAUX;0;25000-50000;150000-200000;Masters;Private;Pickup;FAUX;0-3 pts;15-20 ans;Highly Urban/ Urban;mars-22;complet;dev_integral;A
237;F;36-54;FAUX;0;175000-200000;400000-450000;PhD;Commercial;Panel Truck;FAUX;0-3 pts;15-20 ans;Highly Urban/ Urban;mars-22;complet;dev_premium;B
238;F;54-72;FAUX;0;175000-200000;450000-500000;Masters;Private;SUV;FAUX;0-3 pts;15-20 ans;Highly Urban/ Urban;mars-22;complet;dev_integral;A
239;M;72-90;FAUX;2;25000-50000;0-50000;<High School;Private;SUV;FAUX;3-6 pts;0-5 ans;Highly Urban/ Urban;mai-22;complet;dev_integral;A
240;F;54-72;FAUX;0;75000-100000;250000-300000;PhD;Private;Minivan;VRAI;3-6 pts;10-15 ans;Highly Urban/ Urban;févr-22;complet;dev_integral;A
241;F;36-54;FAUX;0;50000-75000;N/C;Masters;Private;Minivan;FAUX;0-3 pts;15-20 ans;Highly Urban/ Urban;mai-22;complet;dev_express;A
242;M;54-72;FAUX;0;75000-100000;300000-350000;High School;Commercial;SUV;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;févr-22;complet;dev_express;A
243;F;72-90;FAUX;0;0-25000;0-50000;Bachelors;Commercial;Pickup;VRAI;0-3 pts;10-15 ans;Highly Urban/ Urban;mars-22;complet;dev_express;A
244;F;72-90;VRAI;2;75000-100000;N/C;Masters;Private;Sports Car;FAUX;6-9 pts;10-15 ans;Highly Urban/ Urban;mai-22;complet;dev_express;A
245;M;0-18;FAUX;1;25000-50000;0-50000;High School;Private;SUV;FAUX;3-6 pts;5-10 ans;Highly Urban/ Urban;mai-22;complet;dev_integral;A
246;F;72-90;FAUX;0;N/C;200000-250000;Bachelors;Private;Van;VRAI;3-6 pts;10-15 ans;Highly Urban/ Urban;janv-22;complet;dev_integral;A
247;M;18-36;VRAI;2;50000-75000;150000-200000;High School;Commercial;Pickup;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;mai-22;complet;dev_premium;B
248;M;0-18;FAUX;3;0-25000;100000-150000;<High School;Commercial;Van;VRAI;0-3 pts;0-5 ans;Highly Rural/ Rural;janv-22;complet;dev_integral;A
249;M;18-36;FAUX;0;25000-50000;150000-200000;High School;Private;Pickup;VRAI;0-3 pts;10-15 ans;Highly Urban/ Urban;avr-22;complet;dev_integral;A
250;F;18-36;FAUX;0;75000-100000;250000-300000;Masters;Private;Minivan;FAUX;0-3 pts;15-20 ans;Highly Urban/ Urban;avr-22;complet;dev_integral;A
251;M;0-18;FAUX;0;100000-125000;300000-350000;Masters;Private;SUV;FAUX;0-3 pts;20-25 ans;Highly Urban/ Urban;janv-22;complet;dev_integral;A
252;F;18-36;FAUX;0;50000-75000;0-50000;High School;Commercial;SUV;FAUX;3-6 pts;10-15 ans;Highly Rural/ Rural;mai-22;complet;dev_express;A
253;M;54-72;FAUX;0;25000-50000;150000-200000;Bachelors;Commercial;Minivan;FAUX;3-6 pts;5-10 ans;Highly Urban/ Urban;janv-22;complet;dev_premium;B
254;F;54-72;FAUX;0;125000-150000;300000-350000;Masters;Private;Van;VRAI;0-3 pts;15-20 ans;Highly Urban/ Urban;févr-22;complet;dev_express;A
255;M;0-18;FAUX;0;25000-50000;0-50000;Masters;Private;Minivan;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;avr-22;complet;dev_integral;A
256;M;54-72;FAUX;3;75000-100000;250000-300000;Bachelors;Commercial;Van;VRAI;0-3 pts;N/C;Highly Rural/ Rural;mai-22;complet;dev_premium;B
257;M;54-72;FAUX;3;N/C;150000-200000;Masters;Private;Minivan;FAUX;0-3 pts;15-20 ans;Highly Urban/ Urban;févr-22;complet;dev_integral;A
258;F;18-36;VRAI;3;25000-50000;N/C;<High School;Private;Minivan;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;févr-22;complet;dev_express;A
259;F;72-90;FAUX;0;0-25000;0-50000;High School;Private;Minivan;VRAI;0-3 pts;0-5 ans;Highly Rural/ Rural;mars-22;complet;dev_premium;B
260;F;54-72;FAUX;0;25000-50000;N/C;Bachelors;Commercial;Panel Truck;FAUX;3-6 pts;10-15 ans;Highly Urban/ Urban;févr-22;complet;dev_express;A
261;F;0-18;FAUX;0;50000-75000;200000-250000;Bachelors;Commercial;Panel Truck;FAUX;3-6 pts;5-10 ans;Highly Urban/ Urban;avr-22;complet;dev_integral;A
262;F;72-90;FAUX;2;75000-100000;300000-350000;Bachelors;Commercial;Van;VRAI;0-3 pts;5-10 ans;Highly Urban/ Urban;févr-22;complet;dev_express;A
263;M;0-18;FAUX;0;150000-175000;0-50000;Masters;Commercial;Pickup;FAUX;0-3 pts;15-20 ans;Highly Urban/ Urban;mars-22;complet;dev_integral;A
264;M;0-18;FAUX;0;75000-100000;0-50000;Bachelors;Commercial;Van;FAUX;6-9 pts;10-15 ans;Highly Urban/ Urban;mars-22;complet;dev_express;A
265;M;72-90;FAUX;0;0-25000;100000-150000;High School;Private;SUV;FAUX;3-6 pts;N/C;Highly Urban/ Urban;mai-22;complet;dev_integral;A
266;M;54-72;FAUX;0;50000-75000;200000-250000;Bachelors;Private;SUV;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;avr-22;complet;dev_integral;A
267;M;36-54;FAUX;0;75000-100000;200000-250000;Bachelors;Private;SUV;FAUX;0-3 pts;0-5 ans;Highly Rural/ Rural;janv-22;complet;dev_premium;A
268;M;0-18;FAUX;0;150000-175000;450000-500000;PhD;Commercial;Panel Truck;FAUX;3-6 pts;10-15 ans;Highly Urban/ Urban;mars-22;complet;dev_express;A
269;F;54-72;FAUX;0;50000-75000;200000-250000;Masters;Private;SUV;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;janv-22;complet;dev_integral;A
270;F;54-72;FAUX;0;100000-125000;250000-300000;Masters;Private;Minivan;FAUX;3-6 pts;10-15 ans;Highly Urban/ Urban;mai-22;complet;dev_premium;A
271;F;18-36;FAUX;0;25000-50000;150000-200000;Bachelors;Commercial;Sports Car;FAUX;3-6 pts;10-15 ans;Highly Urban/ Urban;févr-22;complet;dev_integral;A
272;M;54-72;FAUX;0;175000-200000;500000-550000;PhD;Commercial;Pickup;FAUX;3-6 pts;10-15 ans;Highly Urban/ Urban;févr-22;complet;dev_express;A
273;F;36-54;FAUX;0;75000-100000;200000-250000;High School;Commercial;Van;FAUX;3-6 pts;5-10 ans;Highly Urban/ Urban;avr-22;complet;dev_integral;A
274;M;18-36;FAUX;0;50000-75000;200000-250000;High School;Private;Van;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;janv-22;complet;dev_express;A
275;M;36-54;FAUX;1;50000-75000;0-50000;Bachelors;Private;SUV;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;avr-22;complet;dev_express;A
276;F;72-90;FAUX;0;75000-100000;250000-300000;PhD;Commercial;Panel Truck;FAUX;3-6 pts;10-15 ans;Highly Urban/ Urban;avr-22;complet;dev_express;A
277;M;18-36;VRAI;2;75000-100000;250000-300000;Bachelors;Commercial;Pickup;FAUX;3-6 pts;5-10 ans;Highly Urban/ Urban;janv-22;complet;dev_integral;A
278;M;54-72;FAUX;0;25000-50000;0-50000;<High School;Commercial;Pickup;VRAI;3-6 pts;0-5 ans;Highly Urban/ Urban;mars-22;complet;dev_express;A
279;M;18-36;FAUX;0;125000-150000;300000-350000;Masters;Commercial;Panel Truck;FAUX;3-6 pts;20-25 ans;Highly Urban/ Urban;mars-22;complet;dev_integral;A
280;M;72-90;FAUX;0;0-25000;0-50000;Bachelors;Private;SUV;FAUX;3-6 pts;0-5 ans;Highly Urban/ Urban;janv-22;complet;dev_integral;A
281;M;54-72;FAUX;0;50000-75000;150000-200000;Masters;Private;Minivan;VRAI;0-3 pts;10-15 ans;Highly Urban/ Urban;mai-22;complet;dev_integral;A
282;M;0-18;FAUX;0;0-25000;0-50000;PhD;Private;Sports Car;FAUX;3-6 pts;10-15 ans;Highly Urban/ Urban;janv-22;complet;dev_premium;B
283;F;0-18;FAUX;0;50000-75000;0-50000;High School;Private;Sports Car;FAUX;0-3 pts;10-15 ans;Highly Rural/ Rural;mars-22;complet;dev_integral;A
284;F;36-54;FAUX;0;25000-50000;150000-200000;Bachelors;Private;Minivan;VRAI;3-6 pts;10-15 ans;Highly Urban/ Urban;avr-22;complet;dev_integral;A
285;F;72-90;FAUX;0;75000-100000;200000-250000;Bachelors;Private;SUV;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;févr-22;complet;dev_integral;A
286;F;0-18;FAUX;0;25000-50000;150000-200000;<High School;Private;Pickup;VRAI;0-3 pts;0-5 ans;Highly Urban/ Urban;janv-22;complet;dev_integral;A
287;F;36-54;FAUX;0;25000-50000;100000-150000;High School;Commercial;Pickup;VRAI;0-3 pts;10-15 ans;Highly Rural/ Rural;janv-22;complet;dev_integral;A
288;M;54-72;FAUX;0;N/C;150000-200000;Bachelors;Private;Minivan;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;janv-22;complet;dev_integral;A
289;F;72-90;FAUX;0;275000-300000;0-50000;Masters;Commercial;Panel Truck;VRAI;0-3 pts;15-20 ans;Highly Urban/ Urban;févr-22;complet;dev_express;A
290;M;54-72;FAUX;1;75000-100000;150000-200000;Bachelors;Private;Pickup;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;janv-22;complet;dev_premium;B
291;M;54-72;FAUX;0;25000-50000;150000-200000;High School;Private;Pickup;FAUX;3-6 pts;5-10 ans;Highly Urban/ Urban;mars-22;complet;dev_express;A
292;M;0-18;FAUX;0;50000-75000;200000-250000;High School;Private;Pickup;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;mars-22;complet;dev_integral;A
293;M;0-18;FAUX;0;25000-50000;150000-200000;Masters;Private;Minivan;FAUX;3-6 pts;N/C;Highly Urban/ Urban;mars-22;complet;dev_integral;A
294;M;0-18;FAUX;0;50000-75000;200000-250000;Bachelors;Commercial;Van;VRAI;0-3 pts;0-5 ans;Highly Urban/ Urban;mai-22;complet;dev_integral;A
295;F;18-36;FAUX;1;25000-50000;150000-200000;Masters;Private;SUV;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;mai-22;complet;dev_express;A
296;F;36-54;FAUX;2;75000-100000;250000-300000;Bachelors;Private;SUV;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;mai-22;complet;dev_integral;A
297;F;0-18;FAUX;0;25000-50000;0-50000;High School;Private;SUV;FAUX;6-9 pts;N/C;Highly Urban/ Urban;avr-22;complet;dev_premium;B
298;F;72-90;VRAI;1;100000-125000;300000-350000;Bachelors;Private;Minivan;VRAI;0-3 pts;10-15 ans;Highly Urban/ Urban;févr-22;complet;dev_express;A
299;F;54-72;FAUX;0;50000-75000;0-50000;Masters;Private;Pickup;VRAI;0-3 pts;10-15 ans;Highly Urban/ Urban;avr-22;complet;dev_integral;A
300;F;18-36;FAUX;3;25000-50000;150000-200000;Masters;Commercial;Panel Truck;FAUX;0-3 pts;20-25 ans;Highly Urban/ Urban;mars-22;complet;dev_express;A
301;M;36-54;FAUX;0;0-25000;100000-150000;High School;Commercial;Sports Car;FAUX;0-3 pts;0-5 ans;Highly Rural/ Rural;mai-22;complet;dev_integral;A
302;F;0-18;FAUX;2;75000-100000;0-50000;High School;Private;Pickup;FAUX;0-3 pts;10-15 ans;Highly Rural/ Rural;avr-22;complet;dev_integral;A
303;F;36-54;FAUX;3;0-25000;0-50000;High School;Private;SUV;FAUX;0-3 pts;0-5 ans;Highly Rural/ Rural;mai-22;complet;dev_express;A
304;F;54-72;VRAI;3;0-25000;0-50000;<High School;Private;Minivan;VRAI;3-6 pts;0-5 ans;Highly Urban/ Urban;mai-22;complet;dev_integral;A
305;F;72-90;FAUX;0;25000-50000;200000-250000;Bachelors;Private;Pickup;FAUX;0-3 pts;10-15 ans;Highly Rural/ Rural;mars-22;complet;dev_express;A
306;F;54-72;FAUX;0;200000-225000;0-50000;PhD;Private;Sports Car;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;janv-22;complet;dev_express;A
307;M;0-18;FAUX;0;125000-150000;300000-350000;Masters;Commercial;Pickup;VRAI;3-6 pts;20-25 ans;Highly Urban/ Urban;janv-22;complet;dev_express;A
308;F;72-90;FAUX;0;0-25000;50000-100000;Bachelors;Private;SUV;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;mai-22;complet;dev_express;A
309;F;18-36;FAUX;0;50000-75000;200000-250000;Bachelors;Private;Minivan;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;févr-22;complet;dev_premium;B
310;F;36-54;FAUX;0;125000-150000;0-50000;PhD;Commercial;Panel Truck;VRAI;3-6 pts;15-20 ans;Highly Urban/ Urban;janv-22;complet;dev_express;A
311;F;36-54;FAUX;0;0-25000;N/C;Bachelors;Commercial;Minivan;FAUX;0-3 pts;10-15 ans;Highly Rural/ Rural;mai-22;complet;dev_express;A
312;M;18-36;FAUX;0;25000-50000;150000-200000;High School;Commercial;Sports Car;VRAI;0-3 pts;5-10 ans;Highly Urban/ Urban;mai-22;complet;dev_express;A
313;M;36-54;FAUX;0;25000-50000;150000-200000;High School;Private;Minivan;FAUX;0-3 pts;5-10 ans;Highly Rural/ Rural;mai-22;complet;dev_premium;B
314;M;54-72;VRAI;1;25000-50000;150000-200000;Bachelors;Private;Sports Car;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;mai-22;complet;dev_integral;A
315;F;54-72;FAUX;1;125000-150000;300000-350000;Masters;Private;Pickup;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;avr-22;complet;dev_integral;A
316;M;18-36;FAUX;0;0-25000;0-50000;<High School;Private;Minivan;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;févr-22;complet;dev_integral;A
317;M;72-90;FAUX;0;100000-125000;N/C;Masters;Private;Minivan;VRAI;0-3 pts;10-15 ans;Highly Urban/ Urban;avr-22;complet;dev_premium;A
318;F;0-18;FAUX;0;25000-50000;150000-200000;<High School;Commercial;Panel Truck;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;mars-22;complet;dev_integral;A
319;F;36-54;FAUX;4;0-25000;50000-100000;<High School;Private;SUV;FAUX;0-3 pts;5-10 ans;Highly Rural/ Rural;janv-22;complet;dev_express;A
320;M;72-90;VRAI;1;N/C;0-50000;High School;Private;Pickup;VRAI;0-3 pts;5-10 ans;Highly Rural/ Rural;mars-22;complet;dev_integral;A
321;F;54-72;FAUX;0;125000-150000;350000-400000;PhD;Private;Van;VRAI;0-3 pts;10-15 ans;Highly Urban/ Urban;janv-22;complet;dev_integral;A
